,Name,Nickname,Club,Preferred Positions,Overall,Count_tweet,Post_Match_Ratings,Velocity,Attack,Defense,Passing,Movement,Physicality
0,L. Modric,@lukamodric10,Real Madrid CF,CDM CM ,89,198,5,73.0,75.0,73.75,84.4,90.6,67.25
1,M. Brozovic,@BrozovicMarcelo,Inter,CDM CM ,81,5,6.5,73.0,72.22222222222223,69.5,79.2,78.0,70.25
2,A. Kramaric,@andrejkramaric9,TSG 1899 Hoffenheim,LW ST ,81,5,5,73.5,78.33333333333333,21.75,67.2,81.4,71.5
3,S. Vrsaljko,@Vrsaljko,Atlético Madrid,RB ,79,61,6,80.5,60.0,77.25,72.8,72.6,79.0
4,M. Badelj,@MilanBadelj1,Fiorentina,CDM CM ,78,0,,59.0,65.55555555555556,76.0,75.0,71.8,71.5
5,I. Strinic,@ivanstrinic3,Sampdoria,LB ,75,1,5,74.0,59.77777777777778,74.75,66.8,72.8,72.0
6,I. Rakitic,@ivanrakitic,FC Barcelona,CM ,87,46,6,65.5,79.55555555555556,59.75,87.0,77.6,62.5
7,M. Kovacic,@Mateo_Kova23,Real Madrid CF,CDM CM ,82,15,,81.0,66.88888888888889,63.5,81.6,78.0,69.0
8,A. Rebic,@anterebic11,Eintracht Frankfurt,LW ST LM ,72,0,6,77.5,69.0,28.5,65.6,68.2,69.5
9,I. Perisic,@ivanperisic44,Inter,CAM LM ,84,43,7.5,84.0,79.55555555555556,39.5,77.0,78.2,75.5
10,T. Jedvaj,,Bayer 04 Leverkusen,RB CB ,76,0,,72.0,51.333333333333336,76.25,55.8,66.4,78.0
11,N. Kalinic,,Milan,ST ,81,0,,73.0,75.88888888888889,31.0,62.0,73.0,73.75
12,M. Pjaca,@marko_pjaca20,Juventus,LW ,76,108,s.v.,84.0,69.22222222222223,24.0,74.0,79.0,65.75
13,V. Corluka,@CorlukaV05_14,Lokomotiv Moscow,CB ,82,0,,57.0,57.44444444444444,81.25,67.8,63.6,82.75
14,D. Lovren,@DejanLovren_,Liverpool,CB ,81,5,5.5,56.0,42.5,81.66666666666667,55.0,60.2,81.25
15,D. Subasic,@SubasicDanijel,AS Monaco,GK ,85,13,5,52.5,27.0,15.5,27.4,38.2,54.5
16,M. Mandzukic,@MarioMandzukic9,Juventus,LM ST ,83,101,6,72.0,76.66666666666667,62.5,70.0,71.4,86.75
17,D. Caleta-Car,,FC Red Bull Salzburg,CB ,71,0,,64.0,46.0,69.75,41.2,54.2,75.25
18,L. Kalinic,,KAA Gent,GK ,77,0,,34.5,20.666666666666668,17.5,24.0,32.6,51.5
19,D. Vida,@vidadomagoj,Beşiktaş JK,CB RB,80,0,6,76,52,82,59,60,78
